date,vicage,vicsex,vicethnic,susno,susage,sussex,weapon,Status,latitude,longitude,ladnm
2014-08-26,24,M,Black or Black British,1,26,M,Knife,Solved,51.39256,-0.09395,Croydon
2014-08-28,22,M,White or White British,1,40,M,Poison,Solved,51.53716,0.07503,Barking and Dagenham
2014-08-28,14,F,White or White British,1,41,M,None,Solved,51.49546,-0.32421,Hounslow
2014-08-30,59,M,Black or Black British,2,21,M,Knife,Solved,51.51703,-0.20589,Kensington and Chelsea
2014-09-01,1,M,,1,33,F,None,Solved,51.58572,-0.09418,Haringey
2014-09-03,26,F,White or White British,1,48,M,Knife,Solved,51.58645,-0.02368,Waltham Forest
2014-09-04,51,M,White or White British,1,26,M,Blunt Object,Solved,51.6579,-0.03982,Enfield
2014-09-04,82,F,White or White British,1,25,M,Knife,Solved,51.6343,-0.04444,Enfield
2014-09-07,53,M,White or White British,1,52,M,Vehicle,Solved,51.41074,-0.35303,Richmond upon Thames
2014-09-12,21,M,Black or Black British,3,30,M,Gun,Solved,51.47005,-0.14794,Wandsworth
2014-09-18,42,M,Asian or Asian British,2,30,M,None,Solved,51.54577,-0.44171,Hillingdon
2014-09-20,21,M,White or White British,1,40,M,Poison,Solved,51.53716,0.07503,Barking and Dagenham
2014-09-22,1,M,,1,31,F,Other,Solved,51.60814,-0.28836,Harrow
2014-10-04,31,M,Black or Black British,4,18,M,Knife,Solved,51.55353,-0.3624,Ealing
2014-10-14,25,M,Black or Black British,4,21,M,Knife,Solved,51.49588,0.12616,Bexley
